"","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Cabin","Embarked","prediction_mod","correct_prediction","prediction_mod_tuned","correct_prediction_tuned"
"1","0","3","male",22,1,0,7.25,"0","S","0","correct","0","correct"
"2","1","1","female",38,1,0,71.28,"1","C","1","correct","1","correct"
"3","1","3","female",26,0,0,7.92,"0","S","1","correct","1","correct"
"4","1","1","female",35,1,0,53.1,"1","S","1","correct","1","correct"
"5","0","3","male",35,0,0,8.05,"0","S","0","correct","0","correct"
"6","0","3","male",30.69,0,0,8.46,"0","Q","0","correct","0","correct"
"7","0","1","male",54,0,0,51.86,"1","S","0","correct","0","correct"
"8","0","3","male",2,3,1,21.08,"0","S","0","correct","0","correct"
"9","1","3","female",27,0,2,11.13,"0","S","1","correct","1","correct"
"10","1","2","female",14,1,0,30.07,"0","C","1","correct","1","correct"
"11","1","3","female",4,1,1,16.7,"1","S","1","correct","1","correct"
"12","1","1","female",58,0,0,26.55,"1","S","1","correct","1","correct"
"13","0","3","male",20,0,0,8.05,"0","S","0","correct","0","correct"
"14","0","3","male",39,1,5,31.27,"0","S","0","correct","0","correct"
"15","0","3","female",14,0,0,7.85,"0","S","1","incorrect","1","incorrect"
"16","1","2","female",55,0,0,16,"0","S","1","correct","1","correct"
"17","0","3","male",2,4,1,29.12,"0","Q","0","correct","0","correct"
"18","1","2","male",3.06,0,0,13,"0","S","0","incorrect","0","incorrect"
"19","0","3","female",31,1,0,18,"0","S","1","incorrect","1","incorrect"
"20","1","3","female",39.59,0,0,7.22,"0","C","1","correct","1","correct"
"21","0","2","male",35,0,0,26,"0","S","0","correct","0","correct"
"22","1","2","male",34,0,0,13,"1","S","0","incorrect","0","incorrect"
"23","1","3","female",15,0,0,8.03,"0","Q","1","correct","1","correct"
"24","1","1","male",28,0,0,35.5,"1","S","0","incorrect","1","correct"
"25","0","3","female",8,3,1,21.08,"0","S","1","incorrect","1","incorrect"
"26","1","3","female",38,1,5,31.39,"0","S","0","incorrect","1","correct"
"27","0","3","male",13.41,0,0,7.22,"0","C","0","correct","0","correct"
"28","0","1","male",19,3,2,263,"1","S","0","correct","0","correct"
"29","1","3","female",22.33,0,0,7.88,"0","Q","1","correct","1","correct"
"30","0","3","male",42.01,0,0,7.9,"0","S","0","correct","0","correct"
"31","0","1","male",40,0,0,27.72,"0","C","0","correct","1","incorrect"
"32","1","1","female",14.46,1,0,146.52,"1","C","1","correct","1","correct"
"33","1","3","female",45.9,0,0,7.75,"0","Q","1","correct","1","correct"
"34","0","2","male",66,0,0,10.5,"0","S","0","correct","0","correct"
"35","0","1","male",28,1,0,82.17,"0","C","1","incorrect","1","incorrect"
"36","0","1","male",42,1,0,52,"0","S","0","correct","0","correct"
"37","1","3","male",14.83,0,0,7.23,"0","C","0","incorrect","0","incorrect"
"38","0","3","male",21,0,0,8.05,"0","S","0","correct","0","correct"
"39","0","3","female",18,2,0,18,"0","S","1","incorrect","1","incorrect"
"40","1","3","female",14,1,0,11.24,"0","C","1","correct","1","correct"
"41","0","3","female",40,1,0,9.47,"0","S","0","correct","1","incorrect"
"42","0","2","female",27,1,0,21,"0","S","1","incorrect","1","incorrect"
"43","0","3","male",14.67,0,0,7.9,"0","C","0","correct","0","correct"
"44","1","2","female",3,1,2,41.58,"0","C","1","correct","1","correct"
"45","1","3","female",19,0,0,7.88,"0","Q","1","correct","1","correct"
"46","0","3","male",41.22,0,0,8.05,"0","S","0","correct","0","correct"
"47","0","3","male",28.37,1,0,15.5,"0","Q","0","correct","0","correct"
"48","1","3","female",36.46,0,0,7.75,"0","Q","1","correct","1","correct"
"49","0","3","male",6.19,2,0,21.68,"0","C","0","correct","0","correct"
"50","0","3","female",18,1,0,17.8,"0","S","1","incorrect","1","incorrect"
"51","0","3","male",7,4,1,39.69,"0","S","0","correct","0","correct"
"52","0","3","male",21,0,0,7.8,"0","S","0","correct","0","correct"
"53","1","1","female",49,1,0,76.73,"1","C","1","correct","1","correct"
"54","1","2","female",29,1,0,26,"0","S","1","correct","1","correct"
"55","0","1","male",65,0,1,61.98,"1","C","0","correct","0","correct"
"56","1","1","male",29.86,0,0,35.5,"1","S","0","incorrect","1","correct"
"57","1","2","female",21,0,0,10.5,"0","S","1","correct","1","correct"
"58","0","3","male",28.5,0,0,7.23,"0","C","0","correct","0","correct"
"59","1","2","female",5,1,2,27.75,"0","S","1","correct","1","correct"
"60","0","3","male",11,5,2,46.9,"0","S","0","correct","0","correct"
"61","0","3","male",22,0,0,7.23,"0","C","0","correct","0","correct"
"62","1","1","female",38,0,0,80,"1","S","1","correct","1","correct"
"63","0","1","male",45,1,0,83.47,"1","S","0","correct","0","correct"
"64","0","3","male",4,3,2,27.9,"0","S","0","correct","0","correct"
"65","0","1","male",24.44,0,0,27.72,"0","C","1","incorrect","1","incorrect"
"66","1","3","male",31.83,1,1,15.25,"0","C","0","incorrect","0","incorrect"
"67","1","2","female",29,0,0,10.5,"1","S","1","correct","1","correct"
"68","0","3","male",19,0,0,8.16,"0","S","0","correct","0","correct"
"69","1","3","female",17,4,2,7.92,"0","S","0","incorrect","0","incorrect"
"70","0","3","male",26,2,0,8.66,"0","S","0","correct","0","correct"
"71","0","2","male",32,0,0,10.5,"0","S","0","correct","0","correct"
"72","0","3","female",16,5,2,46.9,"0","S","0","correct","0","correct"
"73","0","2","male",21,0,0,73.5,"0","S","0","correct","0","correct"
"74","0","3","male",26,1,0,14.45,"0","C","0","correct","0","correct"
"75","1","3","male",32,0,0,56.5,"0","S","0","incorrect","0","incorrect"
"76","0","3","male",25,0,0,7.65,"1","S","0","correct","0","correct"
"77","0","3","male",56.67,0,0,7.9,"0","S","0","correct","0","correct"
"78","0","3","male",34.58,0,0,8.05,"0","S","0","correct","0","correct"
"79","1","2","male",0.83,0,2,29,"0","S","0","incorrect","1","correct"
"80","1","3","female",30,0,0,12.47,"0","S","1","correct","1","correct"
"81","0","3","male",22,0,0,9,"0","S","0","correct","0","correct"
"82","1","3","male",29,0,0,9.5,"0","S","0","incorrect","0","incorrect"
"83","1","3","female",30.66,0,0,7.79,"0","Q","1","correct","1","correct"
"84","0","1","male",28,0,0,47.1,"0","S","0","correct","1","incorrect"
"85","1","2","female",17,0,0,10.5,"0","S","1","correct","1","correct"
"86","1","3","female",33,3,0,15.85,"0","S","0","incorrect","0","incorrect"
"87","0","3","male",16,1,3,34.38,"0","S","0","correct","0","correct"
"88","0","3","male",21.35,0,0,8.05,"0","S","0","correct","0","correct"
"89","1","1","female",23,3,2,263,"1","S","1","correct","1","correct"
"90","0","3","male",24,0,0,8.05,"0","S","0","correct","0","correct"
"91","0","3","male",29,0,0,8.05,"0","S","0","correct","0","correct"
"92","0","3","male",20,0,0,7.85,"0","S","0","correct","0","correct"
"93","0","1","male",46,1,0,61.17,"1","S","0","correct","0","correct"
"94","0","3","male",26,1,2,20.58,"0","S","0","correct","0","correct"
"95","0","3","male",59,0,0,7.25,"0","S","0","correct","0","correct"
"96","0","3","male",29.73,0,0,8.05,"0","S","0","correct","0","correct"
"97","0","1","male",71,0,0,34.65,"1","C","0","correct","0","correct"
"98","1","1","male",23,0,1,63.36,"1","C","1","correct","1","correct"
"99","1","2","female",34,0,1,23,"0","S","1","correct","1","correct"
"100","0","2","male",34,1,0,26,"0","S","0","correct","0","correct"
"101","0","3","female",28,0,0,7.9,"0","S","1","incorrect","1","incorrect"
"102","0","3","male",30.86,0,0,7.9,"0","S","0","correct","0","correct"
"103","0","1","male",21,0,1,77.29,"1","S","1","incorrect","1","incorrect"
"104","0","3","male",33,0,0,8.65,"0","S","0","correct","0","correct"
"105","0","3","male",37,2,0,7.92,"0","S","0","correct","0","correct"
"106","0","3","male",28,0,0,7.9,"0","S","0","correct","0","correct"
"107","1","3","female",21,0,0,7.65,"0","S","1","correct","1","correct"
"108","1","3","male",38.13,0,0,7.78,"0","S","0","incorrect","0","incorrect"
"109","0","3","male",38,0,0,7.9,"0","S","0","correct","0","correct"
"110","1","3","female",39.7,1,0,24.15,"0","Q","1","correct","1","correct"
"111","0","1","male",47,0,0,52,"1","S","0","correct","0","correct"
"112","0","3","female",14.5,1,0,14.45,"0","C","1","incorrect","1","incorrect"
"113","0","3","male",22,0,0,8.05,"0","S","0","correct","0","correct"
"114","0","3","female",20,1,0,9.82,"0","S","1","incorrect","1","incorrect"
"115","0","3","female",17,0,0,14.46,"0","C","1","incorrect","1","incorrect"
"116","0","3","male",21,0,0,7.92,"0","S","0","correct","0","correct"
"117","0","3","male",70.5,0,0,7.75,"0","Q","0","correct","0","correct"
"118","0","2","male",29,1,0,21,"0","S","0","correct","0","correct"
"119","0","1","male",24,0,1,247.52,"1","C","1","incorrect","1","incorrect"
"120","0","3","female",2,4,2,31.27,"0","S","0","correct","1","incorrect"
"121","0","2","male",21,2,0,73.5,"0","S","0","correct","0","correct"
"122","0","3","male",38.65,0,0,8.05,"0","S","0","correct","0","correct"
"123","0","2","male",32.5,1,0,30.07,"0","C","0","correct","0","correct"
"124","1","2","female",32.5,0,0,13,"1","S","1","correct","1","correct"
"125","0","1","male",54,0,1,77.29,"1","S","0","correct","0","correct"
"126","1","3","male",12,1,0,11.24,"0","C","0","incorrect","0","incorrect"
"127","0","3","male",18.94,0,0,7.75,"0","Q","0","correct","0","correct"
"128","1","3","male",24,0,0,7.14,"0","S","0","incorrect","0","incorrect"
"129","1","3","female",44.34,1,1,22.36,"1","C","1","correct","1","correct"
"130","0","3","male",45,0,0,6.97,"0","S","0","correct","0","correct"
"131","0","3","male",33,0,0,7.9,"0","C","0","correct","0","correct"
"132","0","3","male",20,0,0,7.05,"0","S","0","correct","0","correct"
"133","0","3","female",47,1,0,14.5,"0","S","0","correct","0","correct"
"134","1","2","female",29,1,0,26,"0","S","1","correct","1","correct"
"135","0","2","male",25,0,0,13,"0","S","0","correct","0","correct"
"136","0","2","male",23,0,0,15.05,"0","C","0","correct","0","correct"
"137","1","1","female",19,0,2,26.28,"1","S","1","correct","1","correct"
"138","0","1","male",37,1,0,53.1,"1","S","0","correct","0","correct"
"139","0","3","male",16,0,0,9.22,"0","S","0","correct","0","correct"
"140","0","1","male",24,0,0,79.2,"1","C","1","incorrect","1","incorrect"
"141","0","3","female",12.86,0,2,15.25,"0","C","1","incorrect","1","incorrect"
"142","1","3","female",22,0,0,7.75,"0","S","1","correct","1","correct"
"143","1","3","female",24,1,0,15.85,"0","S","1","correct","1","correct"
"144","0","3","male",19,0,0,6.75,"0","Q","0","correct","0","correct"
"145","0","2","male",18,0,0,11.5,"0","S","0","correct","0","correct"
"146","0","2","male",19,1,1,36.75,"0","S","0","correct","0","correct"
"147","1","3","male",27,0,0,7.8,"0","S","0","incorrect","0","incorrect"
"148","0","3","female",9,2,2,34.38,"0","S","1","incorrect","1","incorrect"
"149","0","2","male",36.5,0,2,26,"1","S","0","correct","0","correct"
"150","0","2","male",42,0,0,13,"0","S","0","correct","0","correct"
"151","0","2","male",51,0,0,12.53,"0","S","0","correct","0","correct"
"152","1","1","female",22,1,0,66.6,"1","S","1","correct","1","correct"
"153","0","3","male",55.5,0,0,8.05,"0","S","0","correct","0","correct"
"154","0","3","male",40.5,0,2,14.5,"0","S","0","correct","0","correct"
"155","0","3","male",35.6,0,0,7.31,"0","S","0","correct","0","correct"
"156","0","1","male",51,0,1,61.38,"0","C","0","correct","1","incorrect"
"157","1","3","female",16,0,0,7.73,"0","Q","1","correct","1","correct"
"158","0","3","male",30,0,0,8.05,"0","S","0","correct","0","correct"
"159","0","3","male",23.61,0,0,8.66,"0","S","0","correct","0","correct"
"160","0","3","male",34.48,8,2,69.55,"0","S","0","correct","0","correct"
"161","0","3","male",44,0,1,16.1,"0","S","0","correct","0","correct"
"162","1","2","female",40,0,0,15.75,"0","S","1","correct","1","correct"
"163","0","3","male",26,0,0,7.78,"0","S","0","correct","0","correct"
"164","0","3","male",17,0,0,8.66,"0","S","0","correct","0","correct"
"165","0","3","male",1,4,1,39.69,"0","S","0","correct","0","correct"
"166","1","3","male",9,0,2,20.52,"0","S","0","incorrect","0","incorrect"
"167","1","1","female",36.83,0,1,55,"1","S","1","correct","1","correct"
"168","0","3","female",45,1,4,27.9,"0","S","0","correct","1","incorrect"
"169","0","1","male",27.15,0,0,25.92,"0","S","0","correct","1","incorrect"
"170","0","3","male",28,0,0,56.5,"0","S","0","correct","0","correct"
"171","0","1","male",61,0,0,33.5,"1","S","0","correct","0","correct"
"172","0","3","male",4,4,1,29.12,"0","Q","0","correct","0","correct"
"173","1","3","female",1,1,1,11.13,"0","S","1","correct","1","correct"
"174","0","3","male",21,0,0,7.92,"0","S","0","correct","0","correct"
"175","0","1","male",56,0,0,30.7,"1","C","0","correct","0","correct"
"176","0","3","male",18,1,1,7.85,"0","S","0","correct","0","correct"
"177","0","3","male",25.27,3,1,25.47,"0","S","0","correct","0","correct"
"178","0","1","female",50,0,0,28.71,"1","C","1","incorrect","1","incorrect"
"179","0","2","male",30,0,0,13,"0","S","0","correct","0","correct"
"180","0","3","male",36,0,0,0,"0","S","0","correct","0","correct"
"181","0","3","female",14.34,8,2,69.55,"0","S","0","correct","0","correct"
"182","0","2","male",41.87,0,0,15.05,"0","C","0","correct","0","correct"
"183","0","3","male",9,4,2,31.39,"0","S","0","correct","0","correct"
"184","1","2","male",1,2,1,39,"1","S","0","incorrect","0","incorrect"
"185","1","3","female",4,0,2,22.02,"0","S","1","correct","1","correct"
"186","0","1","male",18.84,0,0,50,"1","S","1","incorrect","1","incorrect"
"187","1","3","female",28.94,1,0,15.5,"0","Q","1","correct","1","correct"
"188","1","1","male",45,0,0,26.55,"0","S","0","incorrect","0","incorrect"
"189","0","3","male",40,1,1,15.5,"0","Q","0","correct","0","correct"
"190","0","3","male",36,0,0,7.9,"0","S","0","correct","0","correct"
"191","1","2","female",32,0,0,13,"0","S","1","correct","1","correct"
"192","0","2","male",19,0,0,13,"0","S","0","correct","0","correct"
"193","1","3","female",19,1,0,7.85,"0","S","1","correct","1","correct"
"194","1","2","male",3,1,1,26,"1","S","0","incorrect","0","incorrect"
"195","1","1","female",44,0,0,27.72,"1","C","1","correct","1","correct"
"196","1","1","female",58,0,0,146.52,"1","C","1","correct","1","correct"
"197","0","3","male",39.59,0,0,7.75,"0","Q","0","correct","0","correct"
"198","0","3","male",42,0,1,8.4,"0","S","0","correct","0","correct"
"199","1","3","female",21.72,0,0,7.75,"0","Q","1","correct","1","correct"
"200","0","2","female",24,0,0,13,"0","S","1","incorrect","1","incorrect"
"201","0","3","male",28,0,0,9.5,"0","S","0","correct","0","correct"
"202","0","3","male",43.01,8,2,69.55,"0","S","0","correct","0","correct"
"203","0","3","male",34,0,0,6.5,"0","S","0","correct","0","correct"
"204","0","3","male",45.5,0,0,7.22,"0","C","0","correct","0","correct"
"205","1","3","male",18,0,0,8.05,"0","S","0","incorrect","0","incorrect"
"206","0","3","female",2,0,1,10.46,"1","S","1","incorrect","1","incorrect"
"207","0","3","male",32,1,0,15.85,"0","S","0","correct","0","correct"
"208","1","3","male",26,0,0,18.79,"0","C","0","incorrect","0","incorrect"
"209","1","3","female",16,0,0,7.75,"0","Q","1","correct","1","correct"
"210","1","1","male",40,0,0,31,"1","C","0","incorrect","1","correct"
"211","0","3","male",24,0,0,7.05,"0","S","0","correct","0","correct"
"212","1","2","female",35,0,0,21,"0","S","1","correct","1","correct"
"213","0","3","male",22,0,0,7.25,"0","S","0","correct","0","correct"
"214","0","2","male",30,0,0,13,"0","S","0","correct","0","correct"
"215","0","3","male",29.34,1,0,7.75,"0","Q","0","correct","0","correct"
"216","1","1","female",31,1,0,113.28,"1","C","1","correct","1","correct"
"217","1","3","female",27,0,0,7.92,"0","S","1","correct","1","correct"
"218","0","2","male",42,1,0,27,"0","S","0","correct","0","correct"
"219","1","1","female",32,0,0,76.29,"1","C","1","correct","1","correct"
"220","0","2","male",30,0,0,10.5,"0","S","0","correct","0","correct"
"221","1","3","male",16,0,0,8.05,"0","S","0","incorrect","0","incorrect"
"222","0","2","male",27,0,0,13,"0","S","0","correct","0","correct"
"223","0","3","male",51,0,0,8.05,"0","S","0","correct","0","correct"
"224","0","3","male",28.37,0,0,7.9,"0","S","0","correct","0","correct"
"225","1","1","male",38,1,0,90,"1","S","0","incorrect","0","incorrect"
"226","0","3","male",22,0,0,9.35,"0","S","0","correct","0","correct"
"227","1","2","male",19,0,0,10.5,"0","S","0","incorrect","0","incorrect"
"228","0","3","male",20.5,0,0,7.25,"0","S","0","correct","0","correct"
"229","0","2","male",18,0,0,13,"0","S","0","correct","0","correct"
"230","0","3","female",13.8,3,1,25.47,"0","S","0","correct","1","incorrect"
"231","1","1","female",35,1,0,83.47,"1","S","1","correct","1","correct"
"232","0","3","male",29,0,0,7.78,"0","S","0","correct","0","correct"
"233","0","2","male",59,0,0,13.5,"0","S","0","correct","0","correct"
"234","1","3","female",5,4,2,31.39,"0","S","0","incorrect","1","correct"
"235","0","2","male",24,0,0,10.5,"0","S","0","correct","0","correct"
"236","0","3","female",16.57,0,0,7.55,"0","S","1","incorrect","1","incorrect"
"237","0","2","male",44,1,0,26,"0","S","0","correct","0","correct"
"238","1","2","female",8,0,2,26.25,"0","S","1","correct","1","correct"
"239","0","2","male",19,0,0,10.5,"0","S","0","correct","0","correct"
"240","0","2","male",33,0,0,12.28,"0","S","0","correct","0","correct"
"241","0","3","female",19.47,1,0,14.45,"0","C","1","incorrect","1","incorrect"
"242","1","3","female",24.44,1,0,15.5,"0","Q","1","correct","1","correct"
"243","0","2","male",29,0,0,10.5,"0","S","0","correct","0","correct"
"244","0","3","male",22,0,0,7.12,"0","S","0","correct","0","correct"
"245","0","3","male",30,0,0,7.22,"0","C","0","correct","0","correct"
"246","0","1","male",44,2,0,90,"1","Q","0","correct","0","correct"
"247","0","3","female",25,0,0,7.78,"0","S","1","incorrect","1","incorrect"
"248","1","2","female",24,0,2,14.5,"0","S","1","correct","1","correct"
"249","1","1","male",37,1,1,52.55,"1","S","0","incorrect","0","incorrect"
"250","0","2","male",54,1,0,26,"0","S","0","correct","0","correct"
"251","0","3","male",22.43,0,0,7.25,"0","S","0","correct","0","correct"
"252","0","3","female",29,1,1,10.46,"1","S","1","incorrect","1","incorrect"
"253","0","1","male",62,0,0,26.55,"1","S","0","correct","0","correct"
"254","0","3","male",30,1,0,16.1,"0","S","0","correct","0","correct"
"255","0","3","female",41,0,2,20.21,"0","S","1","incorrect","1","incorrect"
"256","1","3","female",29,0,2,15.25,"0","C","1","correct","1","correct"
"257","1","1","female",46.52,0,0,79.2,"0","C","1","correct","1","correct"
"258","1","1","female",30,0,0,86.5,"1","S","1","correct","1","correct"
"259","1","1","female",35,0,0,512.33,"0","C","1","correct","1","correct"
"260","1","2","female",50,0,1,26,"0","S","1","correct","1","correct"
"261","0","3","male",34.11,0,0,7.75,"0","Q","0","correct","0","correct"
"262","1","3","male",3,4,2,31.39,"0","S","0","incorrect","0","incorrect"
"263","0","1","male",52,1,1,79.65,"1","S","0","correct","0","correct"
"264","0","1","male",40,0,0,0,"1","S","0","correct","0","correct"
"265","0","3","female",21.35,0,0,7.75,"0","Q","1","incorrect","1","incorrect"
"266","0","2","male",36,0,0,10.5,"0","S","0","correct","0","correct"
"267","0","3","male",16,4,1,39.69,"0","S","0","correct","0","correct"
"268","1","3","male",25,1,0,7.78,"0","S","0","incorrect","0","incorrect"
"269","1","1","female",58,0,1,153.46,"1","S","1","correct","1","correct"
"270","1","1","female",35,0,0,135.63,"1","S","1","correct","1","correct"
"271","0","1","male",12.21,0,0,31,"0","S","1","incorrect","1","incorrect"
"272","1","3","male",25,0,0,0,"0","S","0","incorrect","0","incorrect"
"273","1","2","female",41,0,1,19.5,"0","S","1","correct","1","correct"
"274","0","1","male",37,0,1,29.7,"1","C","1","incorrect","1","incorrect"
"275","1","3","female",28.93,0,0,7.75,"0","Q","1","correct","1","correct"
"276","1","1","female",63,1,0,77.96,"1","S","1","correct","1","correct"
"277","0","3","female",45,0,0,7.75,"0","S","0","correct","1","incorrect"
"278","0","2","male",31.79,0,0,0,"0","S","0","correct","0","correct"
"279","0","3","male",7,4,1,29.12,"0","Q","0","correct","0","correct"
"280","1","3","female",35,1,1,20.25,"0","S","0","incorrect","1","correct"
"281","0","3","male",65,0,0,7.75,"0","Q","0","correct","0","correct"
"282","0","3","male",28,0,0,7.85,"0","S","0","correct","0","correct"
"283","0","3","male",16,0,0,9.5,"0","S","0","correct","0","correct"
"284","1","3","male",19,0,0,8.05,"0","S","0","incorrect","0","incorrect"
"285","0","1","male",38.13,0,0,26,"1","S","0","correct","0","correct"
"286","0","3","male",33,0,0,8.66,"0","C","0","correct","0","correct"
"287","1","3","male",30,0,0,9.5,"0","S","0","incorrect","0","incorrect"
"288","0","3","male",22,0,0,7.9,"0","S","0","correct","0","correct"
"289","1","2","male",42,0,0,13,"0","S","0","incorrect","0","incorrect"
"290","1","3","female",22,0,0,7.75,"0","Q","1","correct","1","correct"
"291","1","1","female",26,0,0,78.85,"0","S","1","correct","1","correct"
"292","1","1","female",19,1,0,91.08,"1","C","1","correct","1","correct"
"293","0","2","male",36,0,0,12.88,"1","C","0","correct","0","correct"
"294","0","3","female",24,0,0,8.85,"0","S","1","incorrect","1","incorrect"
"295","0","3","male",24,0,0,7.9,"0","S","0","correct","0","correct"
"296","0","1","male",45.84,0,0,27.72,"0","C","0","correct","1","incorrect"
